time,percentages
177.62541000000002,102.12962962962963
355.44572600000004,102.77777777777779
533.2739310000001,101.94444444444444
711.077518,103.05555555555554
888.905428,104.35185185185185
1066.733637,104.35185185185185
1244.539019,103.33333333333334
1422.3678510000002,104.44444444444446
1600.180102,105.18518518518518
1777.9927100000002,104.44444444444446
1955.803609,103.24074074074075
2133.614165,104.72222222222223
2311.427044,105.27777777777779
2489.2300880000003,105.37037037037035
2667.038947,106.2037037037037
2844.849336,105.09259259259258
3022.6535510000003,105.74074074074073
3200.4562250000004,105.83333333333333
3378.2875980000003,107.03703703703704
3556.097948,106.2037037037037
3733.904961,106.94444444444444
3911.707257,107.03703703703704
4089.5344450000002,107.03703703703704
4267.3644110000005,107.5925925925926
4445.161303,108.14814814814815
4622.982722000001,107.77777777777777
4800.8100110000005,108.33333333333333
4978.607976,109.53703703703701
5156.431659000001,108.6111111111111
5334.237944,111.01851851851852
5512.046896000001,111.66666666666667
5689.864705,111.20370370370371
5867.66333,111.66666666666667
6045.491731,111.94444444444444
6223.280915,111.57407407407408
6401.092833000001,112.2222222222222
6578.889904000001,112.5925925925926
6756.73209,112.4074074074074
6934.529031,112.5925925925926
7112.3362400000005,114.81481481481481
7290.129869,114.44444444444441
7467.944517000001,114.90740740740739
7645.740634000001,114.44444444444446
7823.569037,116.48148148148148
8001.381893000001,117.1296296296296
8179.194928000001,117.59259259259258
8357.001582,116.11111111111111
8534.808634,117.6851851851852
8712.63156,118.42592592592594
8890.45727,117.22222222222223
9068.269539,119.62962962962962
9246.067483,118.70370370370371
9423.890786,118.42592592592591
9601.712597,119.16666666666667
9779.54701,119.62962962962962
9957.369287000001,120.27777777777777
10135.195929000001,121.38888888888889
10313.011022,121.85185185185186
10490.820258000002,121.38888888888889
10668.632751000001,121.29629629629628
10846.445595000001,122.49999999999999
11024.258685,124.07407407407408
11202.070229,122.03703703703701
11379.888501000001,124.81481481481482
11557.708972,123.61111111111111
11735.507504000001,124.44444444444444
11913.318084,123.98148148148147
12091.117653000001,124.81481481481482
12268.896025,125.64814814814815
12446.694055,126.01851851851853
12624.495338,126.11111111111109
12802.300874,127.12962962962962
